Année de naissance, sexe, origine ethnique, prénom de l'enfant, nombre, rang
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Olivia, 172,1
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Chloé, 112,2
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Sophia, 104,3
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Emma, ​​99,4
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Emily, 99,4
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Mia, 79,5
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Charlotte, 59,6
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Sarah, 57,7
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Isabella, 56,8
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Hannah, 56,8
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Grace, 54,9
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Angela, 54,9
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ava, 53,10
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Joanna, 49 ans, 11 ans
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Amelia, 44 ans, 12 ans
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Evelyn, 42,13
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ella, 42,13
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Arya, 42, 13
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ariana, 40, 14
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Maya, 39,15
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Alina, 39,15
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Fiona, 35, 16
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ashley, 34 ans, 17 ans
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Anaya, 34,17
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Fatima, 34 ans, 17 ans
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Anna, 34 ans, 17 ans
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Aria, 33, 18
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Abigail, 32 ans, 19 ans
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Victoria, 32 ans, 19 ans
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Abby, 31,20
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Zoe, 31,20
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ayesha, 30, 21
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Vivian, 30, 21
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Claire, 30, 21
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Audrey, 29, 22
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Jessica, 29, 22
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Zoey, 29, 22
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Sophie, 28, 23
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Rachel, 28, 23
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Alice, 28, 23
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Zainab, 28, 23
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Phoebe, 27, 24
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Amy, 27, 24
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Bella, 27, 24
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Zara, 26,25
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Eva, 26, 25
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Kayla, 26, 25
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Maryam, 26, 25
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Annie, 26, 25
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ellie, 25, 26
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Tiffany, 25, 26
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Aisha, 25, 26
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Angelina, 25, 26
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Katherine, 24, 27
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Natalie, 24, 27
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Avery, 24, 27
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Jasmine, 24, 27
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Riley, 24, 27
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Alexandra, 23,28
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Michelle, 23, 28
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Cynthia, 23, 28
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Madison, 23, 28
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Hailey, 23, 28
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Aleena, 23, 28
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Elena, 23, 28
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Mélodie, 22, 29
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Kaylee, 21, 30
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ivy, 21, 30
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Elizabeth, 21, 30
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Chelsea, 21,30
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Irene, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Sofia, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Isabelle, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Tenzin, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Allison, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Aizah, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Queenie, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Leah, 20, 31
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Stéphanie, 19, 32
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Myra, 19,32
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Harper, 19,32
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Inaaya, 19,32
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Alyssa, 19,32
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ariel, 19,32
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Nina, 18, 33
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Joyce, 18, 33
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Katie, 18, 33
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Iris, 18,33
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Lily, 18, 33
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Christina, 18, 33
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Mila, 17,34
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Kaitlyn, 17, 34
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Crystal, 17, 34
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Alisha, 17,34
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Cindy, 17, 34
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Nicole, 17,34
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Hanna, 16,35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Arianna, 16, 35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ambre, 16,35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Hoorain, 16,35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Amanda, 16,35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Queena, 16, 35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Catherine, 16,35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Kelly, 16, 35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Manha, 16,35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Sara, 16,35
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ayat, 15, 36
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Pénélope, 15, 36
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Serena, 15, 36
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Hana, 15,36
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Athena, 15,36
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Jocelyn, 15, 36
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Julia, 15, 36
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Leanna, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Samantha, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Lydia, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Elaine, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Vicky, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Clara, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Winnie, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Inaya, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Emilia, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Jacqueline, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Mina, 14,37
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Amaya, 13,38
